Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gas natural,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,"Mezclas
oleosas",Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsión,Total
2000-01-01,0.0,48446.0,296766.99,0.0,0.0,0.0,0.0,194410.47619047618,,1426.0,202645.2,308156.82,0.0,64026.09,0.0,0.0,0.0,0.0,0.0,0.0,634667.06,0,1750544.6361904764
2000-02-01,0.0,50597.0,328116.44,0.0,0.0,0.0,0.0,174710.55238095237,,1458.0,205530.96,307766.31,0.0,62660.3,0.0,0.0,0.0,0.0,0.0,0.0,642380.66,0,1773220.2223809524
2000-03-01,0.0,27593.0,368589.63,0.0,0.0,0.0,0.0,189234.06666666668,,1503.0,229499.56,331910.29,0.0,61361.99,0.0,0.0,0.0,0.0,0.0,0.0,699807.25,0,1909498.7866666666
2000-04-01,0.0,53794.0,396300.47,0.0,0.0,0.0,0.0,174330.60714285713,,1561.0,210680.4,315648.08,0.0,61814.32,0.0,0.0,0.0,0.0,0.0,0.0,586803.98,0,1800932.857142857
2000-05-01,0.0,60137.0,449368.92,0.0,0.0,0.0,0.0,191745.14761904764,,1642.0,208164.34,319667.97,0.0,54098.32,0.0,0.0,0.0,0.0,0.0,0.0,656948.2,0,1941771.8976190477
2000-06-01,0.0,40623.0,404033.69,0.0,0.0,0.0,0.0,196321.93333333335,,1641.0,195088.74,300347.7,0.0,60390.32,0.0,0.0,0.0,0.0,0.0,0.0,570919.88,0,1769366.2633333332
2000-07-01,0.0,36670.0,291436.2,0.0,0.0,0.0,0.0,192344.50238095238,,1598.0,204556.77,308305.93,0.0,61931.56,0.0,0.0,0.0,0.0,0.0,0.0,576436.02,0,1673278.9823809525
2000-08-01,0.0,25033.0,373811.63,0.0,0.0,0.0,0.0,203727.08095238093,,1438.0,218388.51,323011.86,0.0,70821.94,0.0,0.0,0.0,0.0,0.0,0.0,593770.77,0,1810002.7909523812
2000-09-01,0.0,16906.0,322718.89,0.0,0.0,0.0,0.0,194565.09761904762,,1469.0,213906.96,326455.72,0.0,58960.01,0.0,0.0,0.0,0.0,0.0,0.0,590145.4,0,1725127.0776190476
2000-10-01,0.0,22070.0,260955.42,0.0,0.0,0.0,0.0,210261.82619047622,,1475.0,213606.65,323843.63,0.0,63794.12,0.0,0.0,0.0,0.0,0.0,0.0,641113.36,0,1737120.0061904762
2000-11-01,0.0,25659.0,310274.26,0.0,0.0,0.0,0.0,205027.95261904763,,1498.0,209227.48,320788.08,0.0,65733.0,0.0,0.0,0.0,0.0,0.0,0.0,657086.3,0,1795294.0726190477
2000-12-01,0.0,20430.0,284045.83,0.0,0.0,0.0,0.0,200247.555,,1501.0,230020.7,366987.56,0.0,68848.5,0.0,0.0,0.0,0.0,0.0,0.0,673282.26,0,1845363.405
2001-01-01,0.0,30002.214999999997,399107.63301587204,0.0,0.0,0.0,0.0,179405.99027777778,,1755.5833333333333,164547.3516666666,300242.7816666665,0.0,69691.25083333332,0.0,0.0,0.0,0.0,0.0,0.0,569328.7870238096,0,1714081.592817459
2001-02-01,0.0,34407.564999999995,404897.0034920625,0.0,0.0,0.0,0.0,167818.1378968254,,1510.5833333333333,174838.8116666666,301483.401666666,0.0,56326.42083333332,0.0,0.0,0.0,0.0,0.0,0.0,597749.8317857146,0,1739031.7556746015
2001-03-01,0.0,32274.674999999996,406269.2753968244,0.0,0.0,0.0,0.0,186397.3259920635,,1602.5833333333333,201992.6516666666,355572.831666666,0.0,68208.99083333332,0.0,0.0,0.0,0.0,0.0,0.0,736085.9732142859,0,1988404.307103173
2001-04-01,0.0,26986.954999999994,397689.2196825387,0.0,0.0,0.0,0.0,175820.34503968255,,1355.5833333333333,198683.3916666666,355826.761666666,0.0,66697.90083333332,0.0,0.0,0.0,0.0,0.0,0.0,606257.6589285719,0,1829317.8161507924
2001-05-01,0.0,29776.714999999997,494837.72825396725,0.0,0.0,0.0,0.0,178303.33075396824,,1273.5833333333333,182504.09166666662,336040.041666666,0.0,61641.630833333315,0.0,0.0,0.0,0.0,0.0,0.0,664082.6575,0,1948459.7790079347
2001-06-01,0.0,26759.214999999997,385382.01634920534,0.0,0.0,0.0,0.0,177826.92837301586,,1171.5833333333333,201379.4816666666,308804.7016666665,0.0,57796.09083333332,0.0,0.0,0.0,0.0,0.0,0.0,559333.0336904764,0,1718453.0509126973
2001-07-01,0.0,24312.284999999993,482085.373968253,0.0,0.0,0.0,0.0,191041.99027777778,,1637.5833333333333,214980.2416666666,350501.971666667,0.0,67033.45083333332,0.0,0.0,0.0,0.0,0.0,0.0,589452.7346428575,0,1921045.6313888885
2001-08-01,0.0,25225.994999999995,470955.27396825294,0.0,0.0,0.0,0.0,190295.99027777778,,1412.5833333333333,204646.771666667,348414.6516666665,0.0,64093.29083333332,0.0,0.0,0.0,0.0,0.0,0.0,568546.3746428574,0,1873590.931388888
2001-09-01,0.0,20603.094999999994,387235.78396825294,0.0,0.0,0.0,0.0,184039.99027777778,,1710.5833333333333,188292.3516666666,324393.9616666665,0.0,51773.04083333332,0.0,0.0,0.0,0.0,0.0,0.0,533108.3946428574,0,1691157.2013888876
2001-10-01,0.0,29817.094999999994,412617.563968253,0.0,0.0,0.0,0.0,206176.99027777778,,1102.5833333333333,225240.9516666666,366261.631666666,0.0,56193.31083333332,0.0,0.0,0.0,0.0,0.0,0.0,603371.1846428574,0,1900781.3113888875
2001-11-01,0.0,22299.094999999994,606966.563968253,0.0,0.0,0.0,0.0,201335.99027777778,,1791.5833333333333,210324.9516666666,351890.631666666,0.0,53500.31083333332,0.0,0.0,0.0,0.0,0.0,0.0,626156.1846428574,0,2074265.3113888875
2001-12-01,0.0,19283.094999999994,402835.563968253,0.0,0.0,0.0,0.0,209792.99027777778,,979.5833333333333,223209.9516666666,403561.631666666,0.0,60508.31083333332,0.0,0.0,0.0,0.0,0.0,0.0,664190.1846428574,0,1984361.3113888875
2002-01-01,0.0,16971.656666666662,512580.54666666675,0.0,0.0,0.0,0.0,196068.60873015874,,1722.916666666667,200309.85166666665,368935.52583333326,0.0,51969.76749999998,0.0,0.0,0.0,37593.978333333376,0.0,0.0,726672.5991666663,0,2112825.451230158
2002-02-01,0.0,22834.536666666663,506069.6266666667,0.0,0.0,0.0,0.0,180209.8015873016,,923.916666666667,183119.34166666665,348917.78583333327,0.0,42796.91749999998,0.0,0.0,0.0,85710.74833333338,0.0,0.0,694344.7791666662,0,2064927.4540873012
2002-03-01,0.0,22891.186666666665,446878.0666666667,0.0,0.0,0.0,0.0,186680.96587301587,,1082.916666666667,212711.71166666664,385044.96583333326,0.0,53352.85749999998,0.0,0.0,0.0,64873.728333333376,0.0,0.0,656379.2891666662,0,2029895.6883730153
2002-04-01,0.0,35584.53666666667,450736.2566666667,0.0,0.0,0.0,0.0,196167.1611111111,,1295.916666666667,204765.62166666664,379741.9758333333,0.0,51056.137499999975,0.0,0.0,0.0,40923.468333333374,0.0,0.0,683646.1691666662,0,2043917.2436111106
2002-05-01,0.0,27945.586666666662,539547.9066666667,0.0,0.0,0.0,0.0,201612.35634920635,,1671.916666666667,201083.51166666663,375054.63583333325,0.0,52716.54749999998,0.0,0.0,0.0,62407.66833333337,0.0,0.0,707165.4691666663,0,2169205.5988492058
2002-06-01,0.0,20228.036666666663,456986.2666666667,0.0,0.0,0.0,0.0,193024.39920634922,,638.916666666667,187629.42166666663,371138.58583333326,0.0,50501.347499999974,0.0,0.0,0.0,22963.618333333376,0.0,0.0,667820.7091666663,0,1970931.3017063485
2002-07-01,0.0,14042.266666666663,492323.43666666665,0.0,0.0,0.0,0.0,204196.24444444446,,2062.916666666667,201692.64166666663,399944.64583333326,0.0,55179.817499999976,0.0,0.0,0.0,48749.898333333374,0.0,0.0,656761.5991666663,0,2074953.4669444438
2002-08-01,0.0,13715.916666666662,429935.5066666667,0.0,0.0,0.0,0.0,213625.43253968254,,1825.916666666667,205240.77166666664,392355.6158333333,0.0,51119.78749999998,0.0,0.0,0.0,13351.578333333375,0.0,0.0,657099.7391666662,0,1978270.2650396822
2002-09-01,0.0,13512.866666666663,381600.3366666667,0.0,0.0,0.0,0.0,209849.7587301588,,1416.916666666667,177614.80166666664,347191.43583333323,0.0,46923.96749999998,0.0,0.0,0.0,49713.578333333375,0.0,0.0,653664.5991666663,0,1881488.2612301582
2002-10-01,0.0,10066.266666666663,320349.2066666667,0.0,0.0,0.0,0.0,212932.32777777783,,1834.916666666667,203097.24166666664,381595.19583333324,0.0,61834.37749999998,0.0,0.0,0.0,40876.578333333375,0.0,0.0,653053.2691666662,0,1885639.3802777776
2002-11-01,0.0,16772.076666666664,438764.8966666667,0.0,0.0,0.0,0.0,210000.54682539683,,1552.916666666667,207629.81166666665,384334.21583333326,0.0,50783.19749999998,0.0,0.0,0.0,43455.578333333375,0.0,0.0,671401.3291666663,0,2024694.5693253963
2002-12-01,0.0,13946.066666666664,490960.94666666666,0.0,0.0,0.0,0.0,223830.39682539683,,1397.916666666667,199619.27166666664,400645.4158333333,0.0,55123.277499999975,0.0,0.0,0.0,52341.578333333375,0.0,0.0,676192.4491666663,0,2114057.3193253963
2003-01-01,0.0,19127.77,459765.4,0.0,0.0,0.0,0.0,213268.97857142857,,2009.0,193713.62,376516.58,0.0,55260.55,0.0,0.0,0.0,23392.0,0.0,0.0,769843.3,0,2112897.1985714287
2003-02-01,0.0,34700.38,377181.42,0.0,0.0,0.0,0.0,206815.0119047619,,1166.0,184354.61,355760.81,0.0,45243.65,0.0,0.0,0.0,61772.0,0.0,0.0,709783.58,0,1976777.4619047618
2003-03-01,0.0,56138.58,516535.35,0.0,0.0,0.0,0.0,216427.95,,2039.0,201443.37,361880.87,0.0,51161.05,0.0,0.0,0.0,94892.0,0.0,0.0,786484.49,0,2287002.66
2003-04-01,0.0,47408.44,502634.98,0.0,0.0,0.0,0.0,204403.5119047619,,1469.0,219004.31249999997,377395.17,0.0,50488.24,0.0,0.0,0.0,36935.0,0.0,0.0,709626.3875,0,2149365.0419047615
2003-05-01,0.0,49995.62,565746.99,0.0,0.0,0.0,0.0,216452.75214285718,,1387.0,200407.18,390624.27,0.0,50951.19,0.0,0.0,0.0,106406.0,0.0,0.0,755982.05,0,2337953.0521428576
2003-06-01,0.0,37720.89,410520.4,0.0,0.0,0.0,0.0,212069.04047619048,,1309.0,168327.72,346941.84,0.0,50662.66,0.0,0.0,0.0,61528.0,0.0,0.0,641540.08,0,1930619.6304761905
2003-07-01,0.0,38616.19,438350.49,0.0,0.0,0.0,0.0,231172.01428571428,,1662.0,174317.57,377178.84,0.0,59604.95,0.0,0.0,0.0,57764.0,0.0,0.0,631704.12,0,2010370.1742857145
2003-08-01,0.0,35878.39,464485.57,0.0,0.0,0.0,0.0,222312.70714285717,,1152.0,171665.05,355682.72,0.0,54601.1,0.0,0.0,0.0,40642.0,0.0,0.0,613428.55,0,1959848.0871428573
2003-09-01,0.0,41167.35,357778.24,0.0,0.0,0.0,0.0,225703.05,,1617.0,174757.95,348659.02,0.0,52876.98,0.0,0.0,0.0,61611.6,0.0,0.0,582989.47,0,1847160.66
2003-10-01,0.0,32848.56,614187.67,0.0,0.0,0.0,0.0,239665.04285714283,,1115.0,209314.45,392041.78,0.0,54999.76,0.0,0.0,0.0,52466.0,0.0,0.0,722763.6,0,2319401.862857143
2003-11-01,0.0,38513.22,697861.8,0.0,0.0,0.0,0.0,229612.35476190477,,612.0,168510.0,330640.23,0.0,56216.77,0.0,0.0,0.0,65943.03,0.0,0.0,639828.39,0,2227737.794761905
2003-12-01,0.0,31050.77,340583.67,0.0,0.0,0.0,0.0,247544.63809523807,,903.0,196081.99,391327.66,0.0,61415.1,0.0,0.0,0.0,58499.66,0.0,0.0,652872.45,0,1980278.938095238
2004-01-01,0.0,31681.4,430693.77,0.0,0.0,0.0,0.0,235284.96571428573,,1295.0,203975.57,381547.72,0.0,54764.8,0.0,0.0,83419.985,87146.0,0.0,0.0,656987.4,0,2166796.6107142856
2004-02-01,0.0,34556.73,381997.15,0.0,0.0,0.0,0.0,213288.68333333332,,2734.0,180290.24,339576.46,0.0,50279.3,0.0,0.0,40040.0,74043.0,0.0,0.0,659540.43,48278,2024623.9933333334
2004-03-01,0.0,39057.06,426729.0,0.0,0.0,0.0,0.0,233426.35476190475,,1238.0,206455.62,379687.46,0.0,57919.1,0.0,0.0,47740.0,59087.0,0.0,0.0,746236.84,113372,2310948.4347619046
2004-04-01,0.0,41073.0,368839.7,0.0,0.0,0.0,0.0,217530.87619047618,,1124.0,182379.92,357595.81,0.0,59607.6,0.0,0.0,63398.5,34697.0,0.0,0.0,633766.06,146362,2106374.466190476
2004-05-01,0.0,31988.71,400866.77,0.0,0.0,0.0,0.0,225959.05023809522,,968.0,160741.9,322596.73,0.0,60199.1,0.0,0.0,79761.0,52403.0,0.0,0.0,556369.7,176927,2068780.960238095
2004-06-01,0.0,45451.1,335267.91,0.0,0.0,0.0,0.0,225673.46404761903,,776.0,164782.5,318811.5,0.0,55658.6,0.0,0.0,67864.5,60590.0,0.0,0.0,560393.48,161297,1996566.054047619
2004-07-01,0.0,29127.74,320546.15,0.0,0.0,0.0,0.0,243064.07285714286,,1725.0,182642.41,346413.66,0.0,68394.8,0.0,0.0,68343.0,39999.0,0.0,0.0,583098.546,176388,2059742.3788571428
2004-08-01,0.0,30990.92,333848.59,0.0,0.0,0.0,0.0,236324.7680952381,,759.0,207432.8,390304.28,0.0,62772.7,0.0,0.0,64845.0,40389.0,0.0,0.0,699610.8,184302,2251579.8580952385
2004-09-01,0.0,24259.26,376693.43,0.0,0.0,0.0,0.0,225204.18023809523,,1418.0,194240.55,364689.84,0.0,53387.8,0.0,0.0,0.0,26770.0,0.0,0.0,612639.57,174244,2053546.6302380953
2004-10-01,0.0,18477.29,323360.76,0.0,0.0,0.0,0.0,229626.05833333335,,1886.0,200323.53,380441.55,0.0,59383.3,0.0,0.0,130845.0,40583.0,0.0,0.0,619084.79,171384,2175395.2783333333
2004-11-01,0.0,18502.2,328267.45,0.0,0.0,0.0,0.0,225593.82309523807,,1435.0,214509.65,378498.6,0.0,56250.2,0.0,0.0,69437.5,37413.09,0.0,0.0,705298.16,158324,2193529.673095238
2004-12-01,0.0,14061.36,289338.8,0.0,0.0,0.0,0.0,241915.00523809527,,1419.0,236733.03,429109.1,0.0,63695.8,0.0,0.0,79546.5,43894.0,0.0,0.0,761864.3,180450,2342026.8952380954
2005-01-01,0.0,17015.36,260522.63,0.0,48943.2,0.0,0.0,227154.96976190474,,1497.0,209901.6,321382.14,0.0,10015.1,0.0,0.0,98428.0,31108.09,0.0,0.0,724692.36,148655,2099315.449761905
2005-02-01,0.0,29448.99,280847.96,0.0,39285.8,0.0,0.0,211814.37595238094,,1705.0,198775.61,375768.83,0.0,9557.4,0.0,0.0,64718.5,43384.28,0.0,0.0,717116.77,152244,2124667.515952381
2005-03-01,0.0,38075.98,404657.12,0.0,48358.6,0.0,0.0,224387.02833333335,,1282.0,231358.58,410241.928,0.0,9416.3,0.0,0.0,92735.5,32149.0,0.0,0.0,802139.58,168846,2463647.6163333333
2005-04-01,0.0,40602.97,387064.14,0.0,39340.9,0.0,0.0,218555.20642857143,,917.0,225644.89,389737.16,0.0,5506.2,0.0,0.0,131785.5,47388.0,0.0,0.0,803996.93,182433,2472971.896428572
2005-05-01,0.0,40536.6,506432.44,0.0,36827.2,0.0,0.0,230568.15238095235,,1335.0,187048.26,343762.52,0.0,6820.9,0.0,0.0,129277.5,55515.0,0.0,0.0,715360.44,167907,2421391.012380952
2005-06-01,0.0,39064.02,562186.3,0.0,44188.1,0.0,0.0,223151.25952380954,,1412.0,202161.79,351906.82,0.0,8013.7,0.0,0.0,69657.5,55190.0,0.0,0.0,681743.36,166798,2405472.8495238093
2005-07-01,0.0,34049.77,334178.36,0.0,50690.5,0.0,0.0,236140.07857142857,,1678.0,213821.77,389172.65,0.0,5335.4,0.0,0.0,64702.0,50986.0,0.0,0.0,678614.47,122064,2181432.9985714285
2005-08-01,0.0,29237.36,305370.13,0.0,47309.3,0.0,0.0,242734.74047619046,,1106.0,212696.38,396871.12,0.0,8509.9,0.0,0.0,86713.0,61600.0,0.0,0.0,693681.13,158944,2244773.0604761904
2005-09-01,0.0,26273.57,238571.81,0.0,40131.2,0.0,0.0,223283.86904761902,,1309.0,196776.87,378887.62,0.0,5904.7,0.0,0.0,87345.5,11689.0,0.0,0.0,666258.37,103761,1980192.5090476188
2005-10-01,0.0,5405.34,230464.4,0.0,49322.5,0.0,0.0,213139.58095238096,,996.0,192270.24,328052.56,0.0,7862.9,0.0,0.0,84210.5,7770.0,0.0,0.0,589830.24,91025,1800349.260952381
2005-11-01,0.0,13712.31,302297.6,0.0,23955.9,0.0,0.0,222988.52619047617,,1624.0,185251.12,360869.14,0.0,7266.3,0.0,0.0,77429.0,35384.0,0.0,0.0,701255.47,183012,2115045.3661904763
2005-12-01,0.0,25971.31,285933.09,0.0,50005.0,0.0,0.0,225410.42904761905,,1457.0,241035.13,448688.52,0.0,8298.3,0.0,0.0,99434.5,51257.0,0.0,0.0,775027.2,163364,2375881.4790476193
2006-01-01,0.0,26454.21,271228.13,0.0,45851.0,0.0,0.0,217867.30952380953,,1307.0,211152.72,382078.88,0.0,7111.6,0.0,0.0,98549.0,38294.0,0.0,0.0,750946.36,163706,2214546.2095238096
2006-02-01,0.0,33494.0,228414.98,0.0,43198.9,0.0,0.0,212328.60714285713,,1735.0,200551.4,367944.25,0.0,6390.9,0.0,0.0,101057.0,43150.0,0.0,0.0,734530.76,152377,2125172.797142857
2006-03-01,0.0,48745.0,338067.89,0.0,45311.9,0.0,0.0,232405.35714285716,,1585.0,233082.86,427567.58,0.0,7416.6,0.0,0.0,82582.5,29621.0,0.0,0.0,875047.29,151247,2472679.9771428574
2006-04-01,0.0,36478.0,445994.72,0.0,44322.2,0.0,0.0,207612.26904761902,,1497.0,223479.45,392050.29,0.0,8600.5,0.0,0.0,89331.0,59859.0,0.0,0.0,711185.23,29039,2249448.659047619
2006-05-01,0.0,40882.0,628053.53,0.0,44047.1,0.0,0.0,232489.8333333333,,1400.0,222710.9,379832.55,0.0,6151.3,0.0,0.0,96222.5,29498.0,0.0,0.0,734289.15,0,2415576.8633333333
2006-06-01,0.0,22806.0,399380.67,0.0,42531.9,0.0,0.0,236563.82857142854,,1362.0,196511.22,364359.35,0.0,3720.3,0.0,0.0,101684.0,30854.0,0.0,0.0,672428.87,0,2072202.1385714286
2006-07-01,0.0,34461.58,408695.2,0.0,43381.8,0.0,0.0,239767.85476190477,,1552.0,210255.7,392252.91,0.0,6128.6,0.0,0.0,97361.0,59117.27,0.0,0.0,684438.7,0,2177412.614761905
2006-08-01,0.0,29068.07,412953.69,0.0,44489.5,0.0,0.0,245672.01666666666,,1942.0,211202.14,394585.28,0.0,7918.7,0.0,0.0,89875.5,42171.03,0.0,0.0,707219.69,1471,2188568.6166666667
2006-09-01,0.0,22311.3,283514.35,0.0,37449.2,0.0,0.0,256040.1023809524,,1576.0,204369.99,382724.97,0.0,6691.2,0.0,0.0,111782.0,39823.1,0.0,0.0,650791.38,0,1997073.5923809523
2006-10-01,0.0,25204.67,464238.85,0.0,37891.8,0.0,0.0,238514.63333333333,,1845.0,203061.39,400793.81,0.0,7884.2,0.0,0.0,48735.5,28499.79,0.0,0.0,683543.13,0,2140212.7733333334
2006-11-01,0.0,36772.97,523491.3,0.0,40998.5,0.0,0.0,228417.4380952381,,1618.91,205541.91,401922.57,0.0,7669.5,0.0,0.0,109186.0,21777.27,0.0,0.0,739181.99,0,2316578.358095238
2006-12-01,0.0,27047.99,384849.54,0.0,51753.6,0.0,0.0,236333.1119047619,,1959.0,233936.83,454373.13,0.0,9049.5,0.0,0.0,110896.5,34342.7,0.0,0.0,776330.26,0,2320872.1619047616
2007-01-01,0.0,36112.06,481365.9,0.0,47659.2,0.0,0.0,217344.65595238097,,1657.0,216560.79,418412.86,0.0,9659.8,0.0,0.0,118327.0,55217.79,0.0,0.0,810372.66,0,2412689.715952381
2007-02-01,0.0,35844.96,441178.9,0.0,42101.8,0.0,0.0,211149.36071428572,,1606.0,204991.91,401425.14,0.0,5162.4,0.0,0.0,89353.0,38218.66,0.0,0.0,799394.6,0,2270426.7307142857
2007-03-01,0.0,47101.77,537373.86,0.0,54082.4,0.0,0.0,264115.98333333334,,1665.0,239019.91,454731.09,0.0,7526.9,0.0,0.0,101887.5,57660.84,0.0,0.0,956680.19,0,2721845.4433333334
2007-04-01,0.0,38731.92,480634.06,0.0,44957.1,0.0,0.0,224818.87619047618,,1550.0,217536.23,403732.56,0.0,7512.6,0.0,0.0,91234.0,46865.77,0.0,0.0,758988.58,0,2316561.6961904764
2007-05-01,0.0,44730.69,624648.8,0.0,46178.5,0.0,0.0,259749.48095238098,,1458.0,224400.73,426414.71,0.0,11518.6,0.0,0.0,78331.0,47491.42,0.0,0.0,811703.69,0,2576625.620952381
2007-06-01,0.0,25509.9,666096.2,0.0,46459.4,0.0,0.0,244505.28333333335,,908.0,217473.91,390991.36,0.0,14318.3,0.0,0.0,83270.0,36586.8,0.0,0.0,720896.77,0,2447015.923333334
2007-07-01,0.0,41652.9,680178.9,0.0,55620.5,0.0,0.0,261555.62142857144,,1381.0,219874.23,416497.41,0.0,11812.2,0.0,0.0,99957.0,66993.71,0.0,0.0,721550.61,0,2577074.0814285716
2007-08-01,0.0,32132.95,529257.62,0.0,50337.0,0.0,0.0,267634.12142857147,,1571.0,236565.57,411088.53,0.0,16179.4,0.0,0.0,117265.5,36100.5,0.0,0.0,736620.9,0,2434753.0914285714
2007-09-01,0.0,21666.59,374139.35,0.0,46392.8,0.0,0.0,254081.75857142854,,1243.0,207241.84,390568.99,0.0,9016.5,0.0,0.0,101530.0,48278.98,0.0,0.0,669587.88,0,2123747.6885714284
2007-10-01,0.0,23741.47,384625.95,0.0,50839.9,0.0,0.0,264936.6595238095,,1284.0,224750.77,419001.81,0.0,13724.2,0.0,0.0,105314.0,22628.56,0.0,0.0,738702.86,0,2249550.17952381
2007-11-01,0.0,36281.17,515855.99,0.0,48631.6,0.0,0.0,250108.61190476193,,1477.0,218116.79,417490.77,0.0,13720.9,0.0,0.0,73557.0,52597.23,0.0,0.0,779547.05,0,2407384.111904762
2007-12-01,0.0,36570.14,431419.38,0.0,52596.0,0.0,0.0,253659.5285714286,,1009.0,252394.11428571425,438542.79333333333,0.0,23241.6,0.0,0.0,100226.5,47879.57,0.0,0.0,768886.87,0,2406425.496190476
2008-01-01,0.0,33627.86,433142.36,0.0,50760.2,0.0,0.0,252508.3333333333,,1989.2,213645.39,403266.74,0.0,23736.5,0.0,0.0,95308.84,43860.96,0.0,0.0,797668.91,0,2349515.293333333
2008-02-01,0.0,27023.37,430602.16,0.0,49177.79,0.0,0.0,241978.08333333334,,1282.48,215873.67,407735.55,0.0,12268.8,0.0,0.0,59523.695,43795.41,0.0,0.0,794000.25,0,2283261.258333333
2008-03-01,0.0,24535.08,433126.79,0.0,54474.23,0.0,0.0,247679.0380952381,,1282.24,233761.07,424157.28,0.0,11053.6,0.0,0.0,90591.985,33091.99,0.0,0.0,776026.79,0,2329780.0930952383
2008-04-01,0.0,28686.75,521002.28,0.0,50481.01,0.0,0.0,243178.03095238094,,1389.7,233687.28,399193.53,0.0,9701.1,0.0,0.0,107236.47,33710.99,0.0,0.0,807725.77,0,2435992.910952381
2008-05-01,0.0,30108.84,671159.46,0.0,40315.15,0.0,0.0,240798.45952380952,,1097.2,236635.85,390882.63,0.0,10184.3,0.0,0.0,108039.415,29039.12,0.0,0.0,682326.18,0,2440586.6045238096
